Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games
Kacper Walukiewicz		Poland	September 22, 1999 (age 24)	Active	2018 – Present			Rifler	9INE			$52,196	Global Offensive
Dawid Falczyński		Poland	May 21, 1999 (age 24)	Active	2017 – Present			AWPer			LAYNER	$12,447	Global Offensive
Eryk Kocęba		Poland	January 21, 1997 (age 26)	Active	2015 – Present			Rifler				$35,806	Global Offensive
Karolina Kasprzyk		Poland	October 19, 1996 (age 26)	Active	2015 – Present			Rifler	NAVI Javelins			$17,525	Global Offensive
Mariusz Cybulski		Poland	February 27, 1987 (age 36)	Valve Banned	2005 – 2015	2015 – Present		Coach	IKLA		mnk1, lrd	$136,211	Global Offensive
Dawid Cieślak		Poland	April 14, 1993 (age 30)	Active	2015 – Present			In-game leader	Anonymo Esports			$43,691	Global Offensive
Maciej Bugaj		Poland	April 18, 1994 (age 29)	Active	2015 – 2021	2021 – Present		Coach			Luzu	$36,990	Global Offensive
Mateusz Szambelan		Poland	June 11, 2001 (age 22)	Active	2019 – Present			AWPer				$11,252	Global Offensive
Martin Nakonieczny		Poland	June 19, 2001 (age 22)	Active	2020 – Present			Rifler	Permitta Esports		maaryyy	$18,530	Global Offensive
Mateusz Wilczewski		United Kingdom	August 21, 1997 (age 26)	Active	2015 – Present			AWPer	BIG		m4ntuu	$196,353	Global Offensive
Kuba Markowski		Poland	September  5, 1998 (age 25)	Active	2014 – Present			AWPer	Turów Zgorzelec Esport			$35,530	Global Offensive
Bartłomiej Trybuła		Poland	January  2, 2001 (age 22)	Active	2019 – Present			In-game leader			masked	$17,524	Global Offensive
Mateusz Kołodziejczyk		Poland	October 13, 1994 (age 28)	Valve Banned	2013 – Present			support				$31,659	Global Offensive
Michał Bartosiak		Poland	August 14, 2001 (age 22)	Active	2019 – Present							$6,264	Global Offensive
Alan Ciszewski		Poland		Inactive	2017 – 2021			Rifler				$1,925	Global Offensive
Miłosz Knasiak		Poland	March  3, 2002 (age 21)	Active	2018 – Present			AWPer	Team Falcons			$62,631	Global Offensive
Michał Müller		Poland	December 29, 1996 (age 26)	Active	2012 – Present			entry fragger	IKLA		m4jczu	$245,834	Global Offensive
Mikołaj Michałków		Poland	August 10, 1997 (age 26)	Valve Banned		2017 – Present		Coach	AGO esports				Global Offensive
Jacek Jeziak		Poland	February 11, 1994 (age 29)	Active	2010 – Present			AWPer			minise	$127,377	Global Offensive
Michał Gabszewicz		Poland	September  4, 1995 (age 28)	Active	2014 – Present			lurker				$41,815	Global Offensive
Piotr Taterka		Poland	July 28, 1994 (age 29)	Active	2013 – Present			entry fragger	Pompa Team		morel, moleczi	$115,915	Global Offensive
Mikołaj Karolewski		Poland	October 24, 1995 (age 27)	Active	2013 – Present			entry fragger			mouzinho, mouzinh0	$217,979	Global Offensive
Michał Idzikowski		Poland		Active	2020 – Present			Rifler				$3,981	Global Offensive
Robert Pieńkowski		Poland	October 19, 1991 (age 31)	Active	2016 – 2018	2018 – Present		Coach				$452	Global Offensive
Łukasz Pachucki		Poland	May 26, 2003 (age 20)	Active	2019 – Present			AWPer	ORKS		MWLKY	$9,450	Global Offensive
Wiktor Kruk		Poland	September 26, 1995 (age 28)	Active	2012 – Present				9INE			$72,570	Global Offensive
Mateusz Wolniak		Poland	March  9, 1999 (age 24)	Active	2018 – Present			Rifler	LODIS			$11,687	Global Offensive
Piotr Nawrocki		Poland	August 15, 1997 (age 26)	Active	2017 – 2020, 2021 – 2022, 	2022 – Present		Coach	9INE			$15,099	Global Offensive
Jakub Lempart		Poland	November 10, 2001 (age 21)	Active	2020 – Present			Rifler				$7,063	Global Offensive
Kacper Parakowski		Poland	August  1, 2004 (age 19)	Active	2021 – Present			AWPer			Miseraaa	$3,706	Global Offensive
Michał Głowaty		Poland	February 28, 1997 (age 26)	Inactive	2014 – 2022			entry fragger				$17,209	Global Offensive
Patryk Woźniak		Poland	February  7, 2000 (age 23)	Active	2018 – Present			Rifler	ORKS		OLIMP, 6xDxP9	$16,047	Global Offensive
Oskar Stenborowski		Germany	May 16, 1997 (age 26)	Active	2014 – Present							$51,416	Global Offensive
Tomasz Wójcik		Poland	September 26, 1996 (age 27)	Active	2016 – Present						phromelo	$167,442	Global Offensive
Jan Polak		Poland	September  2, 2000 (age 23)	Active	2021 – Present			AWPer				$7,131	Global Offensive
Patryk Wites		Poland	July  6, 1995 (age 28)	Active	2015 – 2023		2023 – Present	Analyst	9INE			$40,338	Global Offensive
Wojciech Zięba		Poland	April 28, 1998 (age 25)	Active	2018 – Present			Rifler				$14,972	Global Offensive
Konrad Klocek		Poland	December 10, 2004 (age 18)	Active	2020 – Present			Rifler				$7,240	Global Offensive
Karol Rodowicz		Poland	June  8, 1994 (age 29)	Active	2014 – Present				Into The Breach			$302,183	Global Offensive
Paweł Jańczak		Poland	December 19, 1994 (age 28)	Active	2014 – Present			Rifler				$106,528	Global Offensive
Kamil Cegiełko		Poland	September  4, 1999 (age 24)	Active	2017 – Present			Rifler	Anonymo Esports			$19,264	Global Offensive
Karol Cybulski		Poland	April 18, 1998 (age 25)	Active	2015 – Present			In-game leader				$13,087	Global Offensive
Kacper Benc		Poland	June  1, 1997 (age 26)	Active	2018 – Present							$3,382	Global Offensive
Dawid Stańczak		Poland	January 17, 2000 (age 23)	Active	2019 – Present			AWPer	Anonymo Esports			$6,706	Global Offensive
Rafał Pietrzak		Poland	November 24, 1998 (age 24)	Active	2014 – Present			Rifler				$6,210	Global Offensive
Adrian Łączyński		Poland	June 20, 1999 (age 24)	Active	2017 – Present			AWPer				$16,157	Global Offensive
Patryk Korab		Poland	June  9, 1998 (age 25)	Active	2016 – 2023	2023 – Present		Assistant Coach	AGO esports			$30,874	Global Offensive
Kamil Szkaradek		Poland	August 26, 2002 (age 21)	Active	2018 – Present				MOUZ			$151,052	Global Offensive
Michał Rudzki		Poland	January 31, 1998 (age 25)	Active	2012 – Present			AWPer	Entropiq		5n47ch	$141,243	Global Offensive
Janusz Andrzej Pogorzelski		Poland	July  5, 1993 (age 30)	Active	2010 – Present				GamerLegion		snaxb0b	$679,702	Global Offensive
Rafał Snopek		Poland	June 10, 2002 (age 21)	Active	2020 – Present				ORKS			$15,689	Global Offensive
Kamil Sobolewski		Poland	January 24, 1998 (age 25)	Active	2016 – Present			Rifler	Anonymo Esports			$39,353	Global Offensive
Łukasz Jahns		Poland	April 19, 2001 (age 22)	Active	2017 – 2022	2022 – Present		Coach			splaw1k	$2,183	Global Offensive
Daniel Płomiński		Poland	December 28, 1994 (age 28)	Active	2016 – Present			AWPer			STOMPADRE	$38,373	Global Offensive
Oliwier Janus		Poland	July 12, 2004 (age 19)	Active	2021 – Present			Rifler				$2,909	Global Offensive
Hubert Światły		Poland	January  4, 2002 (age 21)	Active	2017 – Present						SZEJN	$54,372	Global Offensive
Grzegorz Dziamałek		Poland	June  6, 1991 (age 32)	Active	2009 – Present			AWPer			GeroMan, GeRo, mgr lamaizd	$233,617	Global Offensive
Mateusz Zawistowski		Poland	October  7, 1996 (age 27)	Active	2016 – Present						Tapczan	$94,360	Global Offensive
Tomasz Richter		Poland	April 10, 1998 (age 25)	Inactive	2016 – 2018							$20,322	Global Offensive
Tomasz Uroda		Poland	March 22, 2004 (age 19)	Active	2020 – Present			Rifler	Permitta Esports			$17,113	Global Offensive
Maksymilian Trocha		Poland	September 17, 1996 (age 27)	Active	2016 – 2021	2021	2021 – Present	Analyst	ENCE			$449	Global Offensive
Filip Tudev		Mongolia	March 10, 2000 (age 23)	Active	2017 – Present			AWPer			tudson2k, TUDSON	$15,408	Global Offensive
Mikołaj Leonard Dziedzic		Poland	March  2, 1999 (age 24)	Active		2022 – Present		Coach	ORKS				Global Offensive
Roland Tomkowiak		Poland	November 29, 2003 (age 19)	Active	2020 – Present			AWPer				$8,474	Global Offensive
Arkadiusz Nawojski		Poland	May 19, 2000 (age 23)	Active	2017 – Present			Rifler	ORKS		Vegi1337	$63,495	Global Offensive
Wiktoria Janicka		Poland	November 12, 2002 (age 20)	Active	2020 – Present			AWPer	NAVI Javelins		vicuu	$16,975	Global Offensive
Vincent Jozefiak		Poland	September 25, 1998 (age 25)	Active		2018 – Present		Coach	Anonymo Esports		VinS		Global Offensive
Karol Wrześniewski		Poland	March 27, 2002 (age 21)	Active	2021 – Present			Rifler	Anonymo Esports			$5,740	Global Offensive
Błażej Bączkowski		Poland	November 17, 2001 (age 21)	Active	2018 – Present			Rifler				$8,595	Global Offensive
André Gil		Portugal	March  2, 2003 (age 20)	Active	2019 – Present			Rifler	For The Win Esports		ag1L	$17,709	Global Offensive
Aida Mariana Ribeiro Pinto Simão		Portugal	May  6, 2001 (age 22)	Active	2016 – Present				BIG EQUIPA		Aidaaa, D3rps, Heda	$4,742	
Ricardo Almeida		Portugal	July  6, 1986 (age 37)	Active	2012 – 2017	2018 – Present		Coach				$1,182	Global Offensive
António Barbosa		Portugal	May 23, 2002 (age 21)	Active	2020 – Present			Rifler				$3,575	Global Offensive
Rafael Wing		Portugal	July  2, 2002 (age 21)	Active	2019 – Present			Rifler	SAW		junior, penislaw	$35,017	Global Offensive
Bruno Mourão de Sousa		Portugal	April 30, 1993 (age 30)	Active	2015 – Present						bloodz	$15,273	Global Offensive
Fábio Ferreira		Portugal	February  5, 1989 (age 34)	Active	2015 – Present			AWPer				$7,314	Global Offensive
Guilherme Bastos		Portugal	April 28, 1995 (age 28)	Active	2018 – Present							$3,251	Global Offensive
Hélder Sancho		Brazil	June 25, 1987 (age 36)	Active	2007 – 2013	2017 – Present			Sharks Esports			$2,743	Global Offensive
Cristiano Marques Sá Carvalho		Portugal	September 15, 2001 (age 22)	Active		2020 – Present		Coach	Filhos de D10S			$250	Global Offensive
Marta Sofia Asensio Barreira		Portugal	August 18, 2000 (age 23)	Active	2016 – Present			Rifler	BIG EQUIPA		D7_KC, D7KC	$5,634	
Diogo Dias		Portugal	July  6, 1998 (age 25)	Active	2019 – Present				Rhyno Esports			$19,159	Global Offensive
Daniel Cruz		Portugal	July 24, 2003 (age 20)	Active		2022 – Present		Coach	Los Alpacas				Global Offensive
Michel Magalhães		Portugal	September 24, 2000 (age 23)	Active	2020 – Present			Rifler	SAW			$47,336	Global Offensive
Pedro Sousa		Portugal	April 12, 1999 (age 24)	Active	2017 – 2022		2023 – Present	Analyst			fakes2	$5,722	Global Offensive
Ricardo Pacheco Miguel		Portugal	November 15, 1986 (age 36)		2000 – Present						foxj, foxSdruviaQ, FOXCN543, foxiRiSCN543, FOXIRIS	$98,334	Global Offensive
Diogo Cruz		Portugal	November 13, 2002 (age 20)	Active	2019 – Present			Rifler	Rhyno Esports			$5,529	Global Offensive
Diogo Fernandes		Portugal	March 30, 2001 (age 22)	Active	2018 – Present			Rifler			Jaepe	$3,873	Global Offensive
Ricardo Jorge Barbosa Júnior		Portugal	December 28, 2002 (age 20)	Active		2020 – Present		Coach	ODDIK				Global Offensive
Tiago Moura		Portugal	April 29, 1996 (age 27)	Active	2015 – Present			support	Movistar Riders			$77,883	Global Offensive
Gustavo Alexandre		Portugal	December 29, 2002 (age 20)	Active		2019 – Present		Coach	Into The Breach				Global Offensive
José Duro		Portugal	January 13, 2001 (age 22)	Active	2019 – Present			In-game leader	Los Alpacas			$3,547	Global Offensive
Ricardo Louro		Portugal	January 16, 1996 (age 27)	Active	2019 – Present			AWPer	OVERFRAG		Lr0z1n, Lr0	$4,436	Global Offensive
José Rangel		Portugal		Active	2014 – Present			Rifler			Misk	$4,477	Global Offensive
Christopher Fernandes		Portugal	December 26, 1992 (age 30)	Active	2009 – Present				SAW		MUttt, belarmino, mUttt	$91,030	Global Offensive
Daniel Brito		Portugal	April 27, 1995 (age 28)	Active	2011 – 2012, 2017 – 2021, 	2022 – Present	2022 – 2023		SAW		justinsingle	$6,496	Global Offensive
Filipe André Azevedo Dias		Portugal	November  8, 2001 (age 21)	Active	2017 – Present			Rifler	For The Win Esports			$20,172	Global Offensive
Francisco Ramos		Portugal	September  5, 1995 (age 28)	Active	2015 – 2023, 2023 – Present	2023		AWPer				$26,344	Global Offensive
Filipe Pires		Portugal	July  9, 1992 (age 31)	Active	2014 – 2021, 2022 - Present			entry fragger				$14,526	Global Offensive
João Ferreira		Portugal	January 16, 1995 (age 28)	Active	2016 – Present			Rifler			Plat, PLAT	$7,690	Global Offensive
Daniel Alves		Portugal	August 10, 1994 (age 29)	Active	2017 – Present			AWPer				$4,035	Global Offensive
Rafael Faria Ferreira		Portugal	March 16, 2001 (age 22)	Active	2019 – Present			AWPer	Los Alpacas			$6,616	Global Offensive
Renato Alberto Reixa Lourenço Gonçalves		Portugal	November 16, 1995 (age 27)	Active	2016 – Present			Rifler				$15,835	Global Offensive
Rui Lima		Portugal	November 28, 1993 (age 29)	Active	2010 – Present			Rifler			RIZZAIMER, RIZZZ	$21,364	Global Offensive
Ricardo Oliveira		Portugal	May 14, 1992 (age 31)	Active	2010 – Present			Rifler	SAW			$89,018	Global Offensive
Bruno Teixeira		Portugal	July 27, 1998 (age 25)	Active	2017 – Present			Rifler			shellzy	$15,014	Global Offensive
José Gil		Portugal	January 17, 2001 (age 22)	Active	2019 – Present			AWPer	For The Win Esports		Shr	$7,000	Global Offensive
António Mota		Portugal	September 20, 2001 (age 22)	Active	2019 – Present			Rifler			slaxx	$4,387	Global Offensive
Diogo Rodrigues		Portugal	September 20, 2001 (age 22)	Active	2018 – Present				Rhyno Esports			$12,091	Global Offensive
Renato Gonçalves		Portugal	November 17, 1996 (age 26)	Active	2015 – Present				For The Win Esports			$57,069	Global Offensive
João Vieira		Portugal	April 23, 2002 (age 21)	Active	2019 – Present			AWPer	SAW			$44,801	Global Offensive
Bruno Meira		Portugal	October  9, 1996 (age 27)	Active	2019 – Present			Rifler	Booky Clan			$4,066	Global Offensive
Vasco Santos		Portugal		Active	2010 2017 – 2019, 	2020 – Present		Coach	Booky Clan			$306	Global Offensive
Rui Soares		Portugal	February  4, 1993 (age 30)	Active	2016 – 2019, 2020	2019 – 2020, 2020 – Present		Coach	For The Win Esports			$3,233	Global Offensive
João Cerdeira		Portugal		Active	2011 – 2018	2019 – Present		Coach				$746	Global Offensive
Pedro Amaro		Portugal	August  9, 1996 (age 27)	Active	2016 – Present			Rifler				$8,896	Global Offensive
Ana Sofia Queiroz Marques		Portugal	July 26, 2001 (age 22)	Active	2018 – Present			AWPer	BIG EQUIPA		ZAna, ZanaSofs, ZAna-th	$7,243	
Luís Lousada		Portugal	November 13, 1993 (age 29)	Active	2015 – Present			lurker				$12,332	Global Offensive
Adam Marian		Romania	June 22, 2001 (age 22)	Active	2019 – Present			Rifler	Movistar Riders			$14,552	Global Offensive
Adelin Nica		Romania	December  3, 2000 (age 22)	Active	2019 – Present			AWPer	Gucci Gaming Academy		adeX-	$7,322	Global Offensive
Roberto Paun		Romania	January  1, 2002 (age 21)	Active	2018 – Present			Rifler				$7,220	Global Offensive
Ana Dumbravă		Romania	June 20, 1999 (age 24)	Active	2015 – Present			AWPer	Nigma Galaxy Female			$63,896	Global Offensive
Raul Gligor		Romania	June 23, 2000 (age 23)	Active	2016 – Present			Rifler	ENTERPRISE esports			$22,294	Global Offensive
Catalin-Ionut Stanescu		Romania	May 24, 1989 (age 34)	Active	2010 – Present				Nexus Gaming		beet0n	$32,710	Global Offensive
Bogdan Șerban		Romania	August 30, 1999 (age 24)	Active	2018 – Present			Rifler				$8,541	Global Offensive
Daniel-Cătălin Purice		Romania	October 27, 2000 (age 22)	Active	2017 – Present			Rifler	Gucci Gaming Academy			$5,042	Global Offensive
Ersin Chiriac		Romania	December 28, 2001 (age 21)	Active	2020 – Present			Rifler			Ersin	$4,972	Global Offensive
Mihai Costache		Romania	February  7, 2002 (age 21)	Active	2018 – Present			In-game leader	Sprout Academy			$4,483	Global Offensive
Gheorghiţă-Florin Solovăstru		Romania	November 20, 1995 (age 27)	Active	2017 – Present			In-game leader				$10,686	Global Offensive
Madalina Gherman		Romania		Inactive	2015 – 2019			Rifler				$4,604	Global Offensive
Ivan Mihai		Romania	July 29, 1999 (age 24)	Active	2018 – Present			entry fragger	Natus Vincere		iM-	$126,390	Global Offensive
Costin Vrînceanu		Romania	July 15, 1994 (age 29)	Active	2013 – 2018, 2021 – Present						JaxiTV, JLF	$7,944	Global Offensive
Laurențiu Țârlea		Romania	May 10, 2005 (age 18)	Active	2020 – Present			Rifler	Team Falcons			$29,169	Global Offensive
Mihnea Gheață		Romania	July 30, 2000 (age 23)	Active				entry fragger			mhN	$6,720	Global Offensive
Mădălin-Andrei Mirea		Romania	June  1, 2003 (age 20)	Active	2021 – Present			AWPer	TSM			$11,688	Global Offensive
Luca Ioanitiu		Romania	June 17, 1999 (age 24)	Active		2023 – Present	2022 – 2023	Coach	FlyQuest RED				Global Offensive
Bogdan Nicolae		Romania	July 15, 1998 (age 25)	Active	2015 – Present						-nJ-	$3,368	Global Offensive
Roberto Patru		Romania	April 10, 1995 (age 28)	Active	2015 – Present			entry fragger			r1d3rz195	$3,985	Global Offensive
Cosmin Teodorescu		Romania	March 29, 2000 (age 23)	Active	2018 – Present				Nexus Gaming			$15,448	Global Offensive
Iulian Harjău		Romania	August 26, 2002 (age 21)	Active	2018 – Present			AWPer	OG			$41,087	Global Offensive
Rafael Gligor		Romania	August  9, 1997 (age 26)	Active	2020 – 2022, 2023 – Present			Rifler			RENNE, renne1	$3,782	Global Offensive
Alexandru Ștefan		Romania	September 25, 2002 (age 21)	Active	2020 – Present			Rifler				$4,959	Global Offensive
Valentin Bodea		Romania	June 14, 1997 (age 26)	Active	2014 – Present			Rifler				$20,162	Global Offensive
Cristi Flutur		Romania	December 19, 2002 (age 20)	Active	2019 – Present			entry fragger	Nexus Gaming		smekk-	$12,950	Global Offensive
Ioan-Alexandru Neacsu		Romania		Active	2014 – Present							$2,776	Global Offensive
Cătălin-George Florea		Romania	March 30, 2001 (age 22)	Active	2020 – Present			Rifler				$10,062	Global Offensive
Cristian Nita		Romania	July 31, 1997 (age 26)	Active	2015 – Present	2021		support				$17,533	Global Offensive
Cosmin-Andrei Cetanas		Romania		Active	2005 – Present	2020		Coach	allStars Gaming			$4,540	Global Offensive
Adrian Guță		Romania	October  6, 2000 (age 23)	Active	2015 – Present				Nexus Gaming			$37,191	Global Offensive
Gabriel-Cosmin Letcanu		Romania	September 26, 2000 (age 23)	Active	2017 – Present							$4,649	Global Offensive
